"constituency","Median_Age","Party","election","Classification","Total_Rural_Population","Total_Urban_Population","Total_Population","Higher_Managerial","Lower_Managerial","Intermediate_Occupations","Small_Employers","Lower_Supervisory","Semi_Routine","Routine_Occupations","Never_Worked","Long_Term_Unemployed","Full_Time_Students_Employed","Full_Time_Students_Unemployed","Full_Time_Students_Inactive","overall_weather_std","lib_share","lab_share","oth_share","con_share","mean_environmental_mentions","Total_Students_Count"
"edmonton",32," Liberal Democrats","2010","Predominantly Urban",0,112059,112059,4457,12438,9039,7506,4681,10973,8393,8984,2178,2174,856,3764,4.45981251218765,0.105,0.537,0.06,0.298,4.28571428571429,6794
"edmonton",32," Green Party","2010","Predominantly Urban",0,112059,112059,4457,12438,9039,7506,4681,10973,8393,8984,2178,2174,856,3764,4.45981251218765,0.105,0.537,0.06,0.298,4.28571428571429,6794
"edmonton",32," Labour Party","2015","Predominantly Urban",0,112059,112059,4457,12438,9039,7506,4681,10973,8393,8984,2178,2174,856,3764,4.45981251218765,0.022,0.614,0.123,0.241,4.28571428571429,6794
"edmonton",32," Green Party","2017","Predominantly Urban",0,112059,112059,4457,12438,9039,7506,4681,10973,8393,8984,2178,2174,856,3764,4.45981251218765,0.02,0.715,0.034,0.231,4.28571428571429,6794
"eltham",37," Labour Party","2010","Predominantly Urban",0,89759,89759,6669,13741,9440,6632,3840,8303,5635,3441,1272,1602,523,2711,15.7493923642272,0.126,0.415,0.083,0.375,1,4836
"eltham",37," Conservative Party","2010","Predominantly Urban",0,89759,89759,6669,13741,9440,6632,3840,8303,5635,3441,1272,1602,523,2711,15.7493923642272,0.126,0.415,0.083,0.375,1,4836
"colchester",35," Liberal Democrats","2010","Predominantly Urban",345,108265,108610,8075,18095,10836,6022,5238,12296,7452,2291,1342,2361,518,3942,19.6367464460397,0.48,0.123,0.068,0.329,1.74074074074074,6821
"colchester",35," Labour Party","2010","Predominantly Urban",345,108265,108610,8075,18095,10836,6022,5238,12296,7452,2291,1342,2361,518,3942,19.6367464460397,0.48,0.123,0.068,0.329,1.74074074074074,6821
"colchester",35," UK Independence Party","2010","Predominantly Urban",345,108265,108610,8075,18095,10836,6022,5238,12296,7452,2291,1342,2361,518,3942,19.6367464460397,0.48,0.123,0.068,0.329,1.74074074074074,6821
"colchester",35," Liberal Democrats","2015","Predominantly Urban",345,108265,108610,8075,18095,10836,6022,5238,12296,7452,2291,1342,2361,518,3942,19.6367464460397,0.275,0.162,0.174,0.389,1.74074074074074,6821
"colchester",35," Conservative Party","2015","Predominantly Urban",345,108265,108610,8075,18095,10836,6022,5238,12296,7452,2291,1342,2361,518,3942,19.6367464460397,0.275,0.162,0.174,0.389,1.74074074074074,6821
"colchester",35," UK Independence Party","2015","Predominantly Urban",345,108265,108610,8075,18095,10836,6022,5238,12296,7452,2291,1342,2361,518,3942,19.6367464460397,0.275,0.162,0.174,0.389,1.74074074074074,6821
"colchester",35," Green Party","2015","Predominantly Urban",345,108265,108610,8075,18095,10836,6022,5238,12296,7452,2291,1342,2361,518,3942,19.6367464460397,0.275,0.162,0.174,0.389,1.74074074074074,6821
"colchester",35," Liberal Democrats","2017","Predominantly Urban",345,108265,108610,8075,18095,10836,6022,5238,12296,7452,2291,1342,2361,518,3942,19.6367464460397,0.17,0.353,0.019,0.459,1.74074074074074,6821
"colchester",35," Labour Party","2017","Predominantly Urban",345,108265,108610,8075,18095,10836,6022,5238,12296,7452,2291,1342,2361,518,3942,19.6367464460397,0.17,0.353,0.019,0.459,1.74074074074074,6821
"colchester",35," Liberal Democrats","2019","Predominantly Urban",345,108265,108610,8075,18095,10836,6022,5238,12296,7452,2291,1342,2361,518,3942,19.6367464460397,0.139,0.328,0.029,0.504,1.74074074074074,6821
"enfield north",34," Conservative Party","2010","Predominantly Urban",980,102073,103053,6316,14676,9946,7278,4211,9071,6933,5486,1841,1410,586,2464,4.45981251218765,0.122,0.385,0.071,0.423,1.24137931034483,4460
"enfield north",34," Green Party","2010","Predominantly Urban",980,102073,103053,6316,14676,9946,7278,4211,9071,6933,5486,1841,1410,586,2464,4.45981251218765,0.122,0.385,0.071,0.423,1.24137931034483,4460
"enfield north",34," Liberal Democrats","2010","Predominantly Urban",980,102073,103053,6316,14676,9946,7278,4211,9071,6933,5486,1841,1410,586,2464,4.45981251218765,0.122,0.385,0.071,0.423,1.24137931034483,4460
"enfield north",34," UK Independence Party","2010","Predominantly Urban",980,102073,103053,6316,14676,9946,7278,4211,9071,6933,5486,1841,1410,586,2464,4.45981251218765,0.122,0.385,0.071,0.423,1.24137931034483,4460
"enfield north",34," Labour Party","2010","Predominantly Urban",980,102073,103053,6316,14676,9946,7278,4211,9071,6933,5486,1841,1410,586,2464,4.45981251218765,0.122,0.385,0.071,0.423,1.24137931034483,4460
"enfield north",34," Labour Party","2015","Predominantly Urban",980,102073,103053,6316,14676,9946,7278,4211,9071,6933,5486,1841,1410,586,2464,4.45981251218765,0.023,0.437,0.126,0.414,1.24137931034483,4460
"enfield north",34," UK Independence Party","2015","Predominantly Urban",980,102073,103053,6316,14676,9946,7278,4211,9071,6933,5486,1841,1410,586,2464,4.45981251218765,0.023,0.437,0.126,0.414,1.24137931034483,4460
"enfield north",34," Conservative Party","2015","Predominantly Urban",980,102073,103053,6316,14676,9946,7278,4211,9071,6933,5486,1841,1410,586,2464,4.45981251218765,0.023,0.437,0.126,0.414,1.24137931034483,4460
"erith and thamesmead",33," Labour Party","2010","Predominantly Urban",0,110151,110151,5131,13470,10881,6976,5312,11776,8329,5064,2064,2392,884,2916,15.7493923642272,NA,NA,NA,NA,0.769230769230769,6192
"erith and thamesmead",33," Conservative Party","2015","Predominantly Urban",0,110151,110151,5131,13470,10881,6976,5312,11776,8329,5064,2064,2392,884,2916,15.7493923642272,NA,NA,NA,NA,0.769230769230769,6192
"erith and thamesmead",33," Labour Party","2015","Predominantly Urban",0,110151,110151,5131,13470,10881,6976,5312,11776,8329,5064,2064,2392,884,2916,15.7493923642272,NA,NA,NA,NA,0.769230769230769,6192
"erith and thamesmead",33," UK Independence Party","2015","Predominantly Urban",0,110151,110151,5131,13470,10881,6976,5312,11776,8329,5064,2064,2392,884,2916,15.7493923642272,NA,NA,NA,NA,0.769230769230769,6192
"erith and thamesmead",33," Liberal Democrats","2015","Predominantly Urban",0,110151,110151,5131,13470,10881,6976,5312,11776,8329,5064,2064,2392,884,2916,15.7493923642272,NA,NA,NA,NA,0.769230769230769,6192
"erith and thamesmead",33," Green Party","2015","Predominantly Urban",0,110151,110151,5131,13470,10881,6976,5312,11776,8329,5064,2064,2392,884,2916,15.7493923642272,NA,NA,NA,NA,0.769230769230769,6192
"erith and thamesmead",33," Labour Party","2019","Predominantly Urban",0,110151,110151,5131,13470,10881,6976,5312,11776,8329,5064,2064,2392,884,2916,15.7493923642272,NA,NA,NA,NA,0.769230769230769,6192
"corby",40," Conservative Party","2010","Urban with Significant Rural",53289,56810,110099,6680,15251,9405,6893,6953,13071,14517,1641,1098,1033,151,1087,16.2912476658489,0.144,0.387,0.047,0.422,2.25,2271
"corby",40," Labour Party","2010","Urban with Significant Rural",53289,56810,110099,6680,15251,9405,6893,6953,13071,14517,1641,1098,1033,151,1087,16.2912476658489,0.144,0.387,0.047,0.422,2.25,2271
"corby",40," Liberal Democrats","2010","Urban with Significant Rural",53289,56810,110099,6680,15251,9405,6893,6953,13071,14517,1641,1098,1033,151,1087,16.2912476658489,0.144,0.387,0.047,0.422,2.25,2271
"corby",40," Green Party","2015","Urban with Significant Rural",53289,56810,110099,6680,15251,9405,6893,6953,13071,14517,1641,1098,1033,151,1087,16.2912476658489,0.026,0.385,0.162,0.428,2.25,2271
"corby",40," Labour Party","2017","Urban with Significant Rural",53289,56810,110099,6680,15251,9405,6893,6953,13071,14517,1641,1098,1033,151,1087,16.2912476658489,0.026,0.447,0.035,0.492,2.25,2271
"fareham",43," Liberal Democrats","2015","Predominantly Urban",359,97145,97504,9259,18221,10711,6526,5129,9210,5863,1083,654,1188,157,967,NA,0.088,0.143,0.208,0.561,2.4,2312
"fareham",43," UK Independence Party","2015","Predominantly Urban",359,97145,97504,9259,18221,10711,6526,5129,9210,5863,1083,654,1188,157,967,NA,0.088,0.143,0.208,0.561,2.4,2312
"fareham",43," Green Party","2015","Predominantly Urban",359,97145,97504,9259,18221,10711,6526,5129,9210,5863,1083,654,1188,157,967,NA,0.088,0.143,0.208,0.561,2.4,2312
"fareham",43," Conservative Party","2015","Predominantly Urban",359,97145,97504,9259,18221,10711,6526,5129,9210,5863,1083,654,1188,157,967,NA,0.088,0.143,0.208,0.561,2.4,2312
"fareham",43," Green Party","2017","Predominantly Urban",359,97145,97504,9259,18221,10711,6526,5129,9210,5863,1083,654,1188,157,967,NA,0.068,0.252,0.05,0.63,2.4,2312
"coventry north east",33," Conservative Party","2010","Predominantly Urban",0,110511,110511,4445,11448,9511,5061,5771,13209,12908,5653,2054,1989,743,3029,14.2337217207832,0.166,0.493,0.119,0.221,0.5,5761
"coventry north east",33," Labour Party","2010","Predominantly Urban",0,110511,110511,4445,11448,9511,5061,5771,13209,12908,5653,2054,1989,743,3029,14.2337217207832,0.166,0.493,0.119,0.221,0.5,5761
"coventry north east",33," Liberal Democrats","2010","Predominantly Urban",0,110511,110511,4445,11448,9511,5061,5771,13209,12908,5653,2054,1989,743,3029,14.2337217207832,0.166,0.493,0.119,0.221,0.5,5761
"coventry north east",33," Conservative Party","2015","Predominantly Urban",0,110511,110511,4445,11448,9511,5061,5771,13209,12908,5653,2054,1989,743,3029,14.2337217207832,0.048,0.522,0.2,0.231,0.5,5761
"coventry north east",33," Liberal Democrats","2015","Predominantly Urban",0,110511,110511,4445,11448,9511,5061,5771,13209,12908,5653,2054,1989,743,3029,14.2337217207832,0.048,0.522,0.2,0.231,0.5,5761
"coventry north east",33," UK Independence Party","2015","Predominantly Urban",0,110511,110511,4445,11448,9511,5061,5771,13209,12908,5653,2054,1989,743,3029,14.2337217207832,0.048,0.522,0.2,0.231,0.5,5761
"coventry north east",33," Labour Party","2015","Predominantly Urban",0,110511,110511,4445,11448,9511,5061,5771,13209,12908,5653,2054,1989,743,3029,14.2337217207832,0.048,0.522,0.2,0.231,0.5,5761
"coventry north east",33," Labour Party","2017","Predominantly Urban",0,110511,110511,4445,11448,9511,5061,5771,13209,12908,5653,2054,1989,743,3029,14.2337217207832,0.025,0.634,0.042,0.299,0.5,5761
"coventry north east",33," Liberal Democrats","2017","Predominantly Urban",0,110511,110511,4445,11448,9511,5061,5771,13209,12908,5653,2054,1989,743,3029,14.2337217207832,0.025,0.634,0.042,0.299,0.5,5761
"epsom and ewell",41," Liberal Democrats","2010","Predominantly Urban",2824,101373,104197,12061,20301,11559,7972,3568,7022,4031,1465,733,1445,239,1665,17.2295424498309,NA,NA,NA,NA,3.69230769230769,3349
"epsom and ewell",41," Liberal Democrats","2015","Predominantly Urban",2824,101373,104197,12061,20301,11559,7972,3568,7022,4031,1465,733,1445,239,1665,17.2295424498309,NA,NA,NA,NA,3.69230769230769,3349
"epsom and ewell",41," UK Independence Party","2015","Predominantly Urban",2824,101373,104197,12061,20301,11559,7972,3568,7022,4031,1465,733,1445,239,1665,17.2295424498309,NA,NA,NA,NA,3.69230769230769,3349
"epsom and ewell",41," Green Party","2015","Predominantly Urban",2824,101373,104197,12061,20301,11559,7972,3568,7022,4031,1465,733,1445,239,1665,17.2295424498309,NA,NA,NA,NA,3.69230769230769,3349
"epsom and ewell",41," Conservative Party","2015","Predominantly Urban",2824,101373,104197,12061,20301,11559,7972,3568,7022,4031,1465,733,1445,239,1665,17.2295424498309,NA,NA,NA,NA,3.69230769230769,3349
"epsom and ewell",41," Conservative Party","2017","Predominantly Urban",2824,101373,104197,12061,20301,11559,7972,3568,7022,4031,1465,733,1445,239,1665,17.2295424498309,NA,NA,NA,NA,3.69230769230769,3349
"epsom and ewell",41," Labour Party","2017","Predominantly Urban",2824,101373,104197,12061,20301,11559,7972,3568,7022,4031,1465,733,1445,239,1665,17.2295424498309,NA,NA,NA,NA,3.69230769230769,3349
"epsom and ewell",41," Labour Party","2019","Predominantly Urban",2824,101373,104197,12061,20301,11559,7972,3568,7022,4031,1465,733,1445,239,1665,17.2295424498309,NA,NA,NA,NA,3.69230769230769,3349
"epsom and ewell",41," Liberal Democrats","2019","Predominantly Urban",2824,101373,104197,12061,20301,11559,7972,3568,7022,4031,1465,733,1445,239,1665,17.2295424498309,NA,NA,NA,NA,3.69230769230769,3349
"epsom and ewell",41," Conservative Party","2019","Predominantly Urban",2824,101373,104197,12061,20301,11559,7972,3568,7022,4031,1465,733,1445,239,1665,17.2295424498309,NA,NA,NA,NA,3.69230769230769,3349
"epsom and ewell",41," Green Party","2019","Predominantly Urban",2824,101373,104197,12061,20301,11559,7972,3568,7022,4031,1465,733,1445,239,1665,17.2295424498309,NA,NA,NA,NA,3.69230769230769,3349
"faversham and mid kent",42," Labour Party","2010","Predominantly Rural",30292,62512,92804,7214,15404,9136,7698,4628,9157,7263,1679,838,799,136,819,15.0414871801295,NA,NA,NA,NA,2.77777777777778,1754
"faversham and mid kent",42," Conservative Party","2010","Predominantly Rural",30292,62512,92804,7214,15404,9136,7698,4628,9157,7263,1679,838,799,136,819,15.0414871801295,NA,NA,NA,NA,2.77777777777778,1754
"faversham and mid kent",42," UK Independence Party","2015","Predominantly Rural",30292,62512,92804,7214,15404,9136,7698,4628,9157,7263,1679,838,799,136,819,15.0414871801295,NA,NA,NA,NA,2.77777777777778,1754
"faversham and mid kent",42," Green Party","2015","Predominantly Rural",30292,62512,92804,7214,15404,9136,7698,4628,9157,7263,1679,838,799,136,819,15.0414871801295,NA,NA,NA,NA,2.77777777777778,1754
"faversham and mid kent",42," Conservative Party","2015","Predominantly Rural",30292,62512,92804,7214,15404,9136,7698,4628,9157,7263,1679,838,799,136,819,15.0414871801295,NA,NA,NA,NA,2.77777777777778,1754
"faversham and mid kent",42," Green Party","2019","Predominantly Rural",30292,62512,92804,7214,15404,9136,7698,4628,9157,7263,1679,838,799,136,819,15.0414871801295,NA,NA,NA,NA,2.77777777777778,1754
"coventry south",32," Conservative Party","2010","Predominantly Urban",0,105577,105577,7106,12694,8515,4724,4616,9381,8264,3738,1431,3644,1601,12019,14.2337217207832,0.18,0.418,0.067,0.334,1.33333333333333,17264
"coventry south",32," Labour Party","2010","Predominantly Urban",0,105577,105577,7106,12694,8515,4724,4616,9381,8264,3738,1431,3644,1601,12019,14.2337217207832,0.18,0.418,0.067,0.334,1.33333333333333,17264
"coventry south",32," UK Independence Party","2010","Predominantly Urban",0,105577,105577,7106,12694,8515,4724,4616,9381,8264,3738,1431,3644,1601,12019,14.2337217207832,0.18,0.418,0.067,0.334,1.33333333333333,17264
"coventry south",32," Liberal Democrats","2010","Predominantly Urban",0,105577,105577,7106,12694,8515,4724,4616,9381,8264,3738,1431,3644,1601,12019,14.2337217207832,0.18,0.418,0.067,0.334,1.33333333333333,17264
"coventry south",32," Green Party","2017","Predominantly Urban",0,105577,105577,7106,12694,8515,4724,4616,9381,8264,3738,1431,3644,1601,12019,14.2337217207832,0.029,0.55,0.04,0.381,1.33333333333333,17264
"esher and walton",41," Conservative Party","2010","Predominantly Urban",2393,106681,109074,15156,22185,9655,8624,3302,6462,3857,1487,782,981,156,1377,17.2295424498309,NA,NA,NA,NA,2.4,2514
"esher and walton",41," Conservative Party","2017","Predominantly Urban",2393,106681,109074,15156,22185,9655,8624,3302,6462,3857,1487,782,981,156,1377,17.2295424498309,NA,NA,NA,NA,2.4,2514
"esher and walton",41," Conservative Party","2019","Predominantly Urban",2393,106681,109074,15156,22185,9655,8624,3302,6462,3857,1487,782,981,156,1377,17.2295424498309,NA,NA,NA,NA,2.4,2514
"esher and walton",41," Liberal Democrats","2019","Predominantly Urban",2393,106681,109074,15156,22185,9655,8624,3302,6462,3857,1487,782,981,156,1377,17.2295424498309,NA,NA,NA,NA,2.4,2514
"filton and bradley stoke",38," Labour Party","2010","Predominantly Urban",4921,87730,92651,9262,15010,10785,4983,4834,8935,5950,1153,714,1763,463,2551,14.0899127352598,0.253,0.264,0.075,0.408,3,4777
"filton and bradley stoke",38," Conservative Party","2010","Predominantly Urban",4921,87730,92651,9262,15010,10785,4983,4834,8935,5950,1153,714,1763,463,2551,14.0899127352598,0.253,0.264,0.075,0.408,3,4777
"filton and bradley stoke",38," Green Party","2010","Predominantly Urban",4921,87730,92651,9262,15010,10785,4983,4834,8935,5950,1153,714,1763,463,2551,14.0899127352598,0.253,0.264,0.075,0.408,3,4777
"filton and bradley stoke",38," Liberal Democrats","2010","Predominantly Urban",4921,87730,92651,9262,15010,10785,4983,4834,8935,5950,1153,714,1763,463,2551,14.0899127352598,0.253,0.264,0.075,0.408,3,4777
"filton and bradley stoke",38," UK Independence Party","2010","Predominantly Urban",4921,87730,92651,9262,15010,10785,4983,4834,8935,5950,1153,714,1763,463,2551,14.0899127352598,0.253,0.264,0.075,0.408,3,4777
"filton and bradley stoke",38," Labour Party","2015","Predominantly Urban",4921,87730,92651,9262,15010,10785,4983,4834,8935,5950,1153,714,1763,463,2551,14.0899127352598,0.073,0.266,0.194,0.467,3,4777
"filton and bradley stoke",38," Conservative Party","2015","Predominantly Urban",4921,87730,92651,9262,15010,10785,4983,4834,8935,5950,1153,714,1763,463,2551,14.0899127352598,0.073,0.266,0.194,0.467,3,4777
"filton and bradley stoke",38," UK Independence Party","2015","Predominantly Urban",4921,87730,92651,9262,15010,10785,4983,4834,8935,5950,1153,714,1763,463,2551,14.0899127352598,0.073,0.266,0.194,0.467,3,4777
"filton and bradley stoke",38," Liberal Democrats","2015","Predominantly Urban",4921,87730,92651,9262,15010,10785,4983,4834,8935,5950,1153,714,1763,463,2551,14.0899127352598,0.073,0.266,0.194,0.467,3,4777
"filton and bradley stoke",38," Green Party","2015","Predominantly Urban",4921,87730,92651,9262,15010,10785,4983,4834,8935,5950,1153,714,1763,463,2551,14.0899127352598,0.073,0.266,0.194,0.467,3,4777
"filton and bradley stoke",38," Liberal Democrats","2017","Predominantly Urban",4921,87730,92651,9262,15010,10785,4983,4834,8935,5950,1153,714,1763,463,2551,14.0899127352598,0.06,0.417,0.023,0.5,3,4777
"filton and bradley stoke",38," Conservative Party","2017","Predominantly Urban",4921,87730,92651,9262,15010,10785,4983,4834,8935,5950,1153,714,1763,463,2551,14.0899127352598,0.06,0.417,0.023,0.5,3,4777
"filton and bradley stoke",38," Labour Party","2017","Predominantly Urban",4921,87730,92651,9262,15010,10785,4983,4834,8935,5950,1153,714,1763,463,2551,14.0899127352598,0.06,0.417,0.023,0.5,3,4777
"croydon central",35," Conservative Party","2010","Predominantly Urban",0,114705,114705,9028,18131,13075,7328,4877,10330,6658,4072,1911,1754,510,2403,4.45981251218765,0.132,0.336,0.138,0.394,0.857142857142857,4667
"croydon central",35," Labour Party","2010","Predominantly Urban",0,114705,114705,9028,18131,13075,7328,4877,10330,6658,4072,1911,1754,510,2403,4.45981251218765,0.132,0.336,0.138,0.394,0.857142857142857,4667
"croydon central",35," Conservative Party","2015","Predominantly Urban",0,114705,114705,9028,18131,13075,7328,4877,10330,6658,4072,1911,1754,510,2403,4.45981251218765,0.022,0.427,0.122,0.43,0.857142857142857,4667
"croydon central",35," Labour Party","2015","Predominantly Urban",0,114705,114705,9028,18131,13075,7328,4877,10330,6658,4072,1911,1754,510,2403,4.45981251218765,0.022,0.427,0.122,0.43,0.857142857142857,4667
"croydon central",35," UK Independence Party","2015","Predominantly Urban",0,114705,114705,9028,18131,13075,7328,4877,10330,6658,4072,1911,1754,510,2403,4.45981251218765,0.022,0.427,0.122,0.43,0.857142857142857,4667
"croydon central",35," Conservative Party","2019","Predominantly Urban",0,114705,114705,9028,18131,13075,7328,4877,10330,6658,4072,1911,1754,510,2403,4.45981251218765,0.065,0.502,0.041,0.392,0.857142857142857,4667
"folkestone and hythe",44," Labour Party","2015","Urban with Significant Rural",46556,66429,112985,6633,17291,11264,9398,6300,12603,8645,2804,1498,1261,251,1133,14.3347084041117,NA,NA,NA,NA,1.8,2645
"folkestone and hythe",44," UK Independence Party","2015","Urban with Significant Rural",46556,66429,112985,6633,17291,11264,9398,6300,12603,8645,2804,1498,1261,251,1133,14.3347084041117,NA,NA,NA,NA,1.8,2645
"folkestone and hythe",44," Liberal Democrats","2015","Urban with Significant Rural",46556,66429,112985,6633,17291,11264,9398,6300,12603,8645,2804,1498,1261,251,1133,14.3347084041117,NA,NA,NA,NA,1.8,2645
"folkestone and hythe",44," UK Independence Party","2017","Urban with Significant Rural",46556,66429,112985,6633,17291,11264,9398,6300,12603,8645,2804,1498,1261,251,1133,14.3347084041117,NA,NA,NA,NA,1.8,2645
"folkestone and hythe",44," Green Party","2017","Urban with Significant Rural",46556,66429,112985,6633,17291,11264,9398,6300,12603,8645,2804,1498,1261,251,1133,14.3347084041117,NA,NA,NA,NA,1.8,2645
"folkestone and hythe",44," Labour Party","2017","Urban with Significant Rural",46556,66429,112985,6633,17291,11264,9398,6300,12603,8645,2804,1498,1261,251,1133,14.3347084041117,NA,NA,NA,NA,1.8,2645
"gainsborough",45," UK Independence Party","2010","Predominantly Rural",70380,21339,91719,6142,14846,8564,7397,5540,10414,7680,1853,979,775,145,805,15.2703073937534,0.278,0.156,0.073,0.493,0.916666666666667,1725
"gainsborough",45," Liberal Democrats","2010","Predominantly Rural",70380,21339,91719,6142,14846,8564,7397,5540,10414,7680,1853,979,775,145,805,15.2703073937534,0.278,0.156,0.073,0.493,0.916666666666667,1725
"gainsborough",45," Labour Party","2015","Predominantly Rural",70380,21339,91719,6142,14846,8564,7397,5540,10414,7680,1853,979,775,145,805,15.2703073937534,0.067,0.213,0.193,0.527,0.916666666666667,1725
"gainsborough",45," Conservative Party","2015","Predominantly Rural",70380,21339,91719,6142,14846,8564,7397,5540,10414,7680,1853,979,775,145,805,15.2703073937534,0.067,0.213,0.193,0.527,0.916666666666667,1725
"gainsborough",45," UK Independence Party","2015","Predominantly Rural",70380,21339,91719,6142,14846,8564,7397,5540,10414,7680,1853,979,775,145,805,15.2703073937534,0.067,0.213,0.193,0.527,0.916666666666667,1725
"gainsborough",45," Liberal Democrats","2015","Predominantly Rural",70380,21339,91719,6142,14846,8564,7397,5540,10414,7680,1853,979,775,145,805,15.2703073937534,0.067,0.213,0.193,0.527,0.916666666666667,1725
"gainsborough",45," Labour Party","2019","Predominantly Rural",70380,21339,91719,6142,14846,8564,7397,5540,10414,7680,1853,979,775,145,805,15.2703073937534,0.101,0.214,0.021,0.664,0.916666666666667,1725
"croydon north",33," Conservative Party","2010","Predominantly Urban",0,136044,136044,8000,19802,13618,9218,5315,12896,7909,6766,2620,3098,1060,4190,4.45981251218765,0.14,0.56,0.059,0.241,2.5,8348
"croydon north",33," Labour Party","2010","Predominantly Urban",0,136044,136044,8000,19802,13618,9218,5315,12896,7909,6766,2620,3098,1060,4190,4.45981251218765,0.14,0.56,0.059,0.241,2.5,8348
"croydon north",33," UK Independence Party","2010","Predominantly Urban",0,136044,136044,8000,19802,13618,9218,5315,12896,7909,6766,2620,3098,1060,4190,4.45981251218765,0.14,0.56,0.059,0.241,2.5,8348
"croydon north",33," Labour Party","2017","Predominantly Urban",0,136044,136044,8000,19802,13618,9218,5315,12896,7909,6766,2620,3098,1060,4190,4.45981251218765,0.028,0.742,0.032,0.199,2.5,8348
"forest of dean",45," Liberal Democrats","2010","Predominantly Rural",59009,27158,86167,5837,12751,7732,8210,4893,9832,7450,1630,849,820,169,1091,14.3842955384222,0.219,0.242,0.071,0.469,1.73333333333333,2080
"forest of dean",45," Green Party","2010","Predominantly Rural",59009,27158,86167,5837,12751,7732,8210,4893,9832,7450,1630,849,820,169,1091,14.3842955384222,0.219,0.242,0.071,0.469,1.73333333333333,2080
"forest of dean",45," Labour Party","2010","Predominantly Rural",59009,27158,86167,5837,12751,7732,8210,4893,9832,7450,1630,849,820,169,1091,14.3842955384222,0.219,0.242,0.071,0.469,1.73333333333333,2080
"gateshead",37," Liberal Democrats","2010","Predominantly Urban",0,94506,94506,5098,11892,8885,3830,5578,12299,11577,3776,1686,1174,272,2362,15.1633228853384,0.213,0.541,0.096,0.149,2.25,3808
"gateshead",37," Labour Party","2015","Predominantly Urban",0,94506,94506,5098,11892,8885,3830,5578,12299,11577,3776,1686,1174,272,2362,15.1633228853384,0.068,0.568,0.219,0.145,2.25,3808
"gateshead",37," Liberal Democrats","2017","Predominantly Urban",0,94506,94506,5098,11892,8885,3830,5578,12299,11577,3776,1686,1174,272,2362,15.1633228853384,0.041,0.651,0.069,0.239,2.25,3808
"gateshead",37," Liberal Democrats","2019","Predominantly Urban",0,94506,94506,5098,11892,8885,3830,5578,12299,11577,3776,1686,1174,272,2362,15.1633228853384,0.073,0.536,0.043,0.347,2.25,3808
"darlington",40," Liberal Democrats","2010","Predominantly Urban",0,91417,91417,5060,12682,9554,4577,5114,11517,9461,2720,1516,860,171,942,8.33753669268599,0.234,0.394,0.057,0.315,2.11111111111111,1973
"darlington",40," Labour Party","2010","Predominantly Urban",0,91417,91417,5060,12682,9554,4577,5114,11517,9461,2720,1516,860,171,942,8.33753669268599,0.234,0.394,0.057,0.315,2.11111111111111,1973
"darlington",40," Conservative Party","2010","Predominantly Urban",0,91417,91417,5060,12682,9554,4577,5114,11517,9461,2720,1516,860,171,942,8.33753669268599,0.234,0.394,0.057,0.315,2.11111111111111,1973
"darlington",40," UK Independence Party","2010","Predominantly Urban",0,91417,91417,5060,12682,9554,4577,5114,11517,9461,2720,1516,860,171,942,8.33753669268599,0.234,0.394,0.057,0.315,2.11111111111111,1973
"darlington",40," Conservative Party","2015","Predominantly Urban",0,91417,91417,5060,12682,9554,4577,5114,11517,9461,2720,1516,860,171,942,8.33753669268599,0.048,0.429,0.172,0.352,2.11111111111111,1973
"darlington",40," Green Party","2019","Predominantly Urban",0,91417,91417,5060,12682,9554,4577,5114,11517,9461,2720,1516,860,171,942,8.33753669268599,0.048,0.405,0.067,0.481,2.11111111111111,1973
"garston and halewood",41," Conservative Party","2010","Predominantly Urban",568,97129,97697,5604,13349,9644,4852,5378,12298,8992,4037,1763,1317,281,1647,10.9229233859025,0.201,0.595,0.042,0.161,2.10526315789474,3245
"garston and halewood",41," Labour Party","2010","Predominantly Urban",568,97129,97697,5604,13349,9644,4852,5378,12298,8992,4037,1763,1317,281,1647,10.9229233859025,0.201,0.595,0.042,0.161,2.10526315789474,3245
"garston and halewood",41," Liberal Democrats","2010","Predominantly Urban",568,97129,97697,5604,13349,9644,4852,5378,12298,8992,4037,1763,1317,281,1647,10.9229233859025,0.201,0.595,0.042,0.161,2.10526315789474,3245
"garston and halewood",41," Conservative Party","2015","Predominantly Urban",568,97129,97697,5604,13349,9644,4852,5378,12298,8992,4037,1763,1317,281,1647,10.9229233859025,0.047,0.691,0.126,0.137,2.10526315789474,3245
"garston and halewood",41," Labour Party","2015","Predominantly Urban",568,97129,97697,5604,13349,9644,4852,5378,12298,8992,4037,1763,1317,281,1647,10.9229233859025,0.047,0.691,0.126,0.137,2.10526315789474,3245
"garston and halewood",41," Liberal Democrats","2015","Predominantly Urban",568,97129,97697,5604,13349,9644,4852,5378,12298,8992,4037,1763,1317,281,1647,10.9229233859025,0.047,0.691,0.126,0.137,2.10526315789474,3245
"garston and halewood",41," Green Party","2015","Predominantly Urban",568,97129,97697,5604,13349,9644,4852,5378,12298,8992,4037,1763,1317,281,1647,10.9229233859025,0.047,0.691,0.126,0.137,2.10526315789474,3245
"garston and halewood",41," Conservative Party","2017","Predominantly Urban",568,97129,97697,5604,13349,9644,4852,5378,12298,8992,4037,1763,1317,281,1647,10.9229233859025,0.032,0.777,0.014,0.177,2.10526315789474,3245
